name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Listeria monocytogenes	1639	S	384130	14838	398968	0.10104
Listeria grayi	1641	S	204	0	204	0.00005
Listeria welshimeri	1643	S	92	0	92	0.00002
Listeria ivanovii	1638	S	71	437	508	0.00013
Listeria innocua	1642	S	51	2	53	0.00001
Listeria seeligeri	1640	S	30	0	30	0.00001
Listeria sp. PSOL-1	1844999	S	28	0	28	0.00001
Listeria weihenstephanensis	1006155	S	15	0	15	0.00000
Brochothrix thermosphacta	2756	S	4	0	4	0.00000
Bacillus subtilis	1423	S	26593	160526	187119	0.04739
Bacillus vallismortis	72361	S	5431	2602	8033	0.00203
Bacillus tequilensis	227866	S	2699	130	2829	0.00072
Bacillus velezensis	492670	S	964	8135	9099	0.00230
Bacillus amyloliquefaciens	1390	S	337	1736	2073	0.00053
Bacillus siamensis	659243	S	2	62	64	0.00002
Bacillus mojavensis	72360	S	841	90	931	0.00024
Bacillus halotolerans	260554	S	169	403	572	0.00015
Bacillus atrophaeus	1452	S	1023	166	1189	0.00030
Bacillus paralicheniformis	1648923	S	282	25	307	0.00008
Bacillus sonorensis	119858	S	89	3	92	0.00002
Bacillus licheniformis	1402	S	45	247	292	0.00007
Bacillus sp. JS	1127744	S	254	499	753	0.00019
Bacillus sp. MD-5	2009331	S	239	470	709	0.00018
Bacillus sp. NSP9.1	1071078	S	117	0	117	0.00003
Bacillus sp. ZY-1-1	2093834	S	108	2437	2545	0.00064
Bacillus sp. Lzh-5	2049935	S	83	47757	47840	0.01212
Bacillus sp. KH172YL63	2709784	S	31	0	31	0.00001
Bacillus sp. FJAT-45348	2011012	S	26	0	26	0.00001
Bacillus sp. FJAT-42376	2014076	S	22	0	22	0.00001
Bacillus sp. N3536	2666127	S	20	2	22	0.00001
Bacillus sp. L13 (2020)	2728853	S	15	0	15	0.00000
Bacillus sp. DSL-17	2567941	S	15	0	15	0.00000
Bacillus sp. OxB-1	98228	S	13	0	13	0.00000
Bacillus sp. Cs-700	2589818	S	11	0	11	0.00000
Bacillus sp. FJAT-18017	1705566	S	10	0	10	0.00000
Bacillus sp. THAF10	2587848	S	10	0	10	0.00000
Bacillus sp. SB49	1071080	S	10	0	10	0.00000
Bacillus sp. X1(2014)	1565991	S	10	0	10	0.00000
Bacillus sp. ms-22	2683680	S	9	18	27	0.00001
Bacillus sp. FJAT-25496	1742359	S	9	0	9	0.00000
Bacillus sp. S3	486398	S	9	0	9	0.00000
Bacillus sp. M4U3P1	2592382	S	9	0	9	0.00000
Bacillus sp. Y1	352858	S	7	0	7	0.00000
Bacillus sp. N1-1	2682541	S	7	0	7	0.00000
Bacillus sp. 1NLA3E	666686	S	6	0	6	0.00000
Bacillus sp. WP8	756828	S	6	1	7	0.00000
Bacillus sp. YP1	1574141	S	6	593	599	0.00015
Bacillus sp. FJAT-22090	1581038	S	4	0	4	0.00000
Bacillus sp. SJ-10	563169	S	3	115	118	0.00003
Bacillus sp. 275	1941347	S	2	53	55	0.00001
Bacillus sp. LM 4-2	1628753	S	2	1445	1447	0.00037
Bacillus sp. HNA3	2585772	S	1	240	241	0.00006
Bacillus cereus	1396	S	598	6058	6656	0.00169
Bacillus thuringiensis	1428	S	344	3071	3415	0.00087
Bacillus anthracis	1392	S	131	967	1098	0.00028
Bacillus mycoides	1405	S	39	1	40	0.00001
Bacillus pseudomycoides	64104	S	7	0	7	0.00000
Bacillus albus	2026189	S	6	0	6	0.00000
Bacillus sp. JAS24-2	2217832	S	2	6	8	0.00000
Bacillus bombysepticus	658666	S	3	12	15	0.00000
Bacillus toyonensis	155322	S	2	37	39	0.00001
Bacillus cytotoxicus	580165	S	2	0	2	0.00000
Bacillus wiedmannii	1890302	S	1	0	1	0.00000
Bacillus paranthracis	2026186	S	1	1	2	0.00000
Bacillus luti	2026191	S	1	0	1	0.00000
Bacillus intestinalis	1963032	S	277	55154	55431	0.01404
Bacillus altitudinis	293387	S	162	257	419	0.00011
Bacillus aerophilus	293389	S	1	4	5	0.00000
Bacillus glycinifermentans	1664069	S	158	4	162	0.00004
Bacillus freudenreichii	1783501	S	155	0	155	0.00004
Bacillus megaterium	1404	S	131	161	292	0.00007
Bacillus cohnii	33932	S	90	0	90	0.00002
