name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Salmonella enterica	28901	S	328994	222354	551348	0.13443
Salmonella bongori	54736	S	1550	133	1683	0.00041
Salmonella sp. S13	2686305	S	91	801	892	0.00022
Salmonella sp. SSDFZ54	2500542	S	28	121	149	0.00004
Salmonella sp. HNK130	2664291	S	9	1590	1599	0.00039
Salmonella sp. SCFS4	2725417	S	3	23	26	0.00001
Salmonella sp. SSDFZ69	2500543	S	1	20	21	0.00001
Escherichia coli	562	S	123751	304829	428580	0.10450
Escherichia albertii	208962	S	2977	159	3136	0.00076
Escherichia marmotae	1499973	S	2059	82	2141	0.00052
Escherichia sp. E4742	2044467	S	1515	79	1594	0.00039
Escherichia sp. SCLE84	2725997	S	78	677	755	0.00018
Escherichia fergusonii	564	S	1556	294	1850	0.00045
Shigella dysenteriae	622	S	2864	3511	6375	0.00155
Shigella boydii	621	S	2267	6022	8289	0.00202
Shigella flexneri	623	S	1398	16728	18126	0.00442
Shigella sonnei	624	S	465	1040	1505	0.00037
Enterobacter hormaechei	158836	S	1163	1285	2448	0.00060
Enterobacter cloacae	550	S	548	167	715	0.00017
Enterobacter asburiae	61645	S	389	111	500	0.00012
Enterobacter roggenkampii	1812935	S	327	65	392	0.00010
Enterobacter cancerogenus	69218	S	111	1	112	0.00003
Enterobacter ludwigii	299767	S	68	17	85	0.00002
Enterobacter chengduensis	2494701	S	57	2	59	0.00001
Enterobacter cloacae complex sp.	2027919	S	49	10	59	0.00001
Enterobacter kobei	208224	S	27	14	41	0.00001
Enterobacter sichuanensis	2071710	S	13	1	14	0.00000
Enterobacter cloacae complex sp. ECNIH7	1915310	S	8	3	11	0.00000
Enterobacter cloacae complex sp. FDA-CDC-AR_0164	2077136	S	2	1	3	0.00000
Enterobacter cloacae complex sp. FDA-CDC-AR_0132	2077137	S	2	2	4	0.00000
Enterobacter sp. SA187	1914861	S	96	0	96	0.00002
Enterobacter sp. E76	2596949	S	93	2	95	0.00002
Enterobacter sp. E20	1560339	S	52	20	72	0.00002
Enterobacter sp. 638	399742	S	44	0	44	0.00001
Enterobacter sp. R4-368	1166130	S	23	3	26	0.00001
Enterobacter sp. N18-03635	2500132	S	11	2	13	0.00000
Enterobacter sp. HK169	1868135	S	6	2	8	0.00000
Enterobacter sp. DSM 30060	2747372	S	5	4	9	0.00000
Enterobacter sp. 18A13	2565914	S	4	2	6	0.00000
Enterobacter sp. LU1	1848517	S	2	2	4	0.00000
Enterobacter sp. ODB01	1827481	S	1	0	1	0.00000
Enterobacter oligotrophica	2478464	S	99	1	100	0.00002
Enterobacter soli	885040	S	68	0	68	0.00002
Enterobacter bugandensis	881260	S	61	2	63	0.00002
Citrobacter freundii	546	S	341	963	1304	0.00032
Citrobacter werkmanii	67827	S	113	62	175	0.00004
Citrobacter portucalensis	1639133	S	106	90	196	0.00005
Citrobacter freundii complex sp. CFNIH9	2077149	S	63	150	213	0.00005
Citrobacter freundii complex sp. CFNIH2	2066049	S	41	31	72	0.00002
Citrobacter freundii complex sp. CFNIH3	2077147	S	25	50	75	0.00002
Citrobacter braakii	57706	S	24	42	66	0.00002
Citrobacter youngae	133448	S	14	30	44	0.00001
Citrobacter freundii complex sp. CFNIH4	2077148	S	3	21	24	0.00001
Citrobacter sp. ABFQG	2529121	S	1	71	72	0.00002
Citrobacter amalonaticus	35703	S	464	894	1358	0.00033
Citrobacter sp. SNU WT2	2562449	S	158	7	165	0.00004
Citrobacter sp. NMI7904_11	2653932	S	98	14	112	0.00003
Citrobacter sp. LY-1	2546350	S	44	6	50	0.00001
Citrobacter sp. TSA-1	184912	S	29	44	73	0.00002
Citrobacter sp. CFNIH10	1920110	S	9	38	47	0.00001
