accession	taxid	org_name	domain	phylum	class	order	family	genus	specific_name
GCF_000006765.1	208964	Pseudomonas aeruginosa PAO1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
GCF_000014625.1	208963	Pseudomonas aeruginosa UCBPP-PA14	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
GCF_000007645.1	176280	Staphylococcus epidermidis ATCC 12228	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
GCF_000011925.1	176279	Staphylococcus epidermidis RP62A	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
GCF_000023205.1	465515	Micrococcus luteus NCTC 2665	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	Micrococcus luteus
GCF_000176875.1	596312	Micrococcus luteus SK58	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	Micrococcus luteus
GCF_000275465.1	1156918	Alcaligenes faecalis subsp. faecalis NCIB 8687	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes	Alcaligenes faecalis
GCF_000739855.1	1218102	Alcaligenes faecalis subsp. faecalis NBRC 13111	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes	Alcaligenes faecalis
GCF_000262005.1	1123524	Pseudomonas monteilii QM	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas monteilii
GCF_000510285.1	1435044	Pseudomonas monteilii SB3078	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas monteilii
GCF_000006605.1	306537	Corynebacterium jeikeium K411	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium jeikeium
GCF_000163435.1	525262	Corynebacterium jeikeium ATCC 43734	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium jeikeium
GCF_000261545.1	1128253	Bradyrhizobium japonicum CCBAU 15354	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium japonicum
GCF_000261565.1	1128254	Bradyrhizobium japonicum CCBAU 15517	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium japonicum
GCF_001553955.1	34062	Moraxella osloensis	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella osloensis
